"Waktu Akses",Pertanyaan,"Response Time (Detik)",Status
"2026-06-25 00:00:11","berikan beasiswa master di australia yang masih buka",6.87,OK
"2026-06-25 00:00:37",next,3.107,OK
"2026-06-25 00:03:30","mau tanya beasiswa dong",3.531,OK
"2026-06-25 00:03:44","berikan beasiswa master di australia yang masih buka",8.37,OK
"2026-06-25 00:04:55","mau yang ff aja",8.835,OK
"2026-06-25 00:08:44","dari list tersebut beasiswa mana yang memiliki syarat ipk dibawah 3?",10.031,OK
"2026-06-25 00:10:45","kembali ke list beasiswa sebelumnya",3.681,OK
"2026-06-25 00:11:18","kembali ke list beasiswa ff master australia sebelumnya",2.822,OK
"2026-06-25 01:59:47","aku mau tanya beasiswa dong",2.847,OK
"2026-06-25 02:01:31","berikan beasiswa ln yang sedang buka",9.11,OK
"2026-06-25 02:01:55",next,4.248,OK
"2026-06-25 02:16:56","aku mau tanya beasiswa dong",3.745,OK
"2026-06-25 02:17:18","berikan beasiswa ln yang sedang buka",7.293,OK
"2026-06-25 02:21:27","yang lain dong",3.487,OK
"2026-06-25 02:22:34",next,3.551,OK
"2026-06-25 02:25:43","berikan beasiswa di australia saja",8.492,OK
"2026-06-25 02:27:25","yang sarjana saja",7.64,OK
"2026-06-25 02:28:51",next,3.722,OK
"2026-06-25 02:29:18","yang lain dong",3.186,OK
"2026-06-25 02:29:58","tapi yang masih buka aja",9.287,OK
"2026-06-25 02:31:01","yang lain dong",3.575,OK
"2026-06-25 02:33:09","mau yang jurusan ekonomi",8.204,OK
"2026-06-25 02:36:07","yang lain dong",3.61,OK
"2026-06-25 02:37:33","mau yang no 3",3.18,OK
"2026-06-25 02:39:19","syaratnya apa aja",7.428,OK
"2026-06-25 02:40:06","benefitnya apa aja yang didapat?",2.819,OK
"2026-06-25 02:41:06","berikan link apply beasiswa tersebut",3.111,OK
"2026-06-25 02:41:41","okey terima kasih ya",2.623,OK
"2026-06-25 07:37:27","berikan beasiswa di jurusan ekonomi",14.461,OK
"2026-06-25 07:37:49","berikan beasiswa di jurusan ekonomi yang masih",7.604,OK
"2026-06-25 07:38:19","berikan beasiswa di universitas indonesia yang masih membuka pendaftaran",6.236,OK
"2026-06-25 07:38:49",next,2.182,OK
"2026-06-27 06:27:52","kamu bisa memberikan saya informasi beasiswa?",5.067,OK
"2026-06-27 06:28:22","berikan beasiswa master di amerika yang masih buka",6.98,OK
"2026-06-27 06:44:12","berikan beasiswa sarjana di indonesia yang masih buka dong",24.209,OK
"2026-06-27 06:46:35","carikan beasiswa phd ln yang pf masih buka sampai sekarang",12.262,OK
"2026-06-27 06:47:20","berikan beasiswa master di universitas indonesia",16.469,OK
"2026-06-28 04:07:40","carikan beasiswa universitas indonesia",9.225,OK
"2026-06-28 04:15:37","carikan beasiswa universitas indonesia",1.866,OK
